"";"term";"beta";"top_name"
"1";"allow";0,0048406454873372;"virtual, avatar, world, experi, environ"
"2";"allow";3,53318062926653e-05;"problem, associ, person, predict, posit, emot"
"3";"allow";0,00132469984492125;"perform, cognit, particip, experi, task"
"4";"allow";0,00519702988395751;"mobil, technologi, peopl, young, live"
"5";"allow";0,000300292420677611;"onlin, social, commun, ident, offlin"
"6";"allow";2,15041970816654e-05;"game, plai, mmo, examin, analys"
"7";"allow";0,0015642646784643;"motiv, engag, gamif, element, experi"
"8";"allow";4,2914789681053e-05;"internet, addict, adolesc, gender, femal"
"9";"allow";0,0017325802694388;"learn, educ, design, develop, environ"
"10";"allow";0,000899373008531195;"cultur, museum, commun, inform, histor"
"11";"allow";3,85609664303651e-05;"game, plai, violent, aggress, behavior"
"12";"allow";0,000799686611292976;"student, teach, school, educ, classroom"
"13";"allow";0,000607671331478483;"social, media, sns, network, facebook"
"14";"allow";5,32743479752551e-05;"child, read, activ, text, electron"
"15";"allow";4,12299895399516e-05;"digit, media, narr, literaci, practic"
"16";"allow";0,00110364183398915;"design, method, review, system, valu"
"17";"allow";4,69431335574398e-05;"video, imag, content, visual, analys"
"18";"allow";0,00590872074972083;"music, interact, user, system, experi"
"19";"allow";0,000125984691423685;"model, influenc, blog, factor, perceiv"
"20";"allow";0,0028308297443533;"art, creativ, technologi, project, develop"
"21";"associ";0,00110107314099526;"virtual, avatar, world, experi, environ"
"22";"associ";0,0407725511436729;"problem, associ, person, predict, posit, emot"
"23";"associ";0,00106802633362762;"perform, cognit, particip, experi, task"
"24";"associ";0,000158976502030187;"mobil, technologi, peopl, young, live"
"25";"associ";0,000386506749499061;"onlin, social, commun, ident, offlin"
"26";"associ";0,000689209516467377;"game, plai, mmo, examin, analys"
"27";"associ";0,0015642646784643;"motiv, engag, gamif, element, experi"
"28";"associ";0,0215406495325077;"internet, addict, adolesc, gender, femal"
"29";"associ";0,000104953066834592;"learn, educ, design, develop, environ"
"30";"associ";4,14457607618062e-05;"cultur, museum, commun, inform, histor"
