sentiment;score;word
culture;1;exhibit
culture;1;galleri
culture;1;museum
culture;1;postmodern
culture;1;storytel
culture;1;aesthet
culture;1;art
culture;1;artist
culture;1;cultur
culture;1;arteduc
culture;1;cultureduc
culture;1;aestheduc
digital;1;cdrom
digital;1;offlin
digital;1;3d
digital;1;app
digital;1;artifici
digital;1;audio
digital;1;audiovisu
digital;1;blog
digital;1;comput
digital;1;crowdfund
digital;1;crowdsourc
digital;1;cyber
digital;1;cyberbulli
digital;1;digit
digital;1;digitis
digital;1;ebook
digital;1;electron
digital;1;facebook
digital;1;googl
digital;1;hypertext
digital;1;interact
digital;1;interfac
digital;1;internet
digital;1;ipad
digital;1;iphon
digital;1;itun
digital;1;laptop
digital;1;media
digital;1;meme
digital;1;mobil
digital;1;network
digital;1;onlin
digital;1;pc
digital;1;phone
digital;1;retweet
digital;1;secondlif
digital;1;smartphon
digital;1;sns
digital;1;socialmedia
digital;1;socialnetwork
digital;1;softwar
digital;1;stream
digital;1;tablet
digital;1;technologi
digital;1;troll
digital;1;tweet
digital;1;twitch
digital;1;twitter
digital;1;user
digital;1;virtual
digital;1;visual
digital;1;vr
digital;1;web
digital;1;web2.0
digital;1;web3.0
digital;1;webbas
digital;1;weblog
digital;1;websit
digital;1;youtub
digital;1;hypermedia
digital;1;multimedia
digital;1;avatar
digital;1;consol
digital;1;gamif
digital;1;gamifi
digital;1;instagram
digital;1;augmentrealiti
digital;1;microblog
digital;1;justintv
digital;1;intermedia
education;1;adolesc
education;1;affect
education;1;aggress
education;1;agreeabl
education;1;behavior
education;1;behaviour
education;1;bildung
education;1;child
education;1;children
education;1;classroom
education;1;cognit
education;1;colleg
education;1;educ
education;1;edutain
education;1;elearn
education;1;elementari
education;1;emot
education;1;engag
education;1;enjoy
education;1;entertain
education;1;flow
education;1;fun
education;1;immers
education;1;intellig
education;1;kindergarden
education;1;kindergarten
education;1;knowledg
education;1;learn
education;1;learner
education;1;literaci
education;1;motiv
education;1;pedagog
education;1;pedagogi
education;1;person
education;1;prosoci
education;1;pupil
education;1;school
education;1;selfefficaci
education;1;selfregul
education;1;socialemot
education;1;societi
education;1;student
education;1;teach
education;1;teacher
education;1;teen
education;1;teenag
education;1;univers
education;1;belief
education;1;particip
education;1;social
education;1;curriculum
games;1;quest
games;1;player
games;1;seriousgam
games;1;videogam
games;1;warcraft
games;1;adventur
games;1;avatar
games;1;consol
games;1;exergam
games;1;game
games;1;gameplai
games;1;gaming
games;1;gbl
games;1;ingam
games;1;kinect
games;1;minecraft
games;1;mmo
