"dim1";"dim2";"document";"topic"
1,32871313519361;-1,14913700693821;"Landoni M., Gibb F.(2000). The role of visual rhetoric in the design and production of electronic books: The visual book. Electronic Library";"design, method, review, system, valu"
1,75107418280799;15,7062752237737;"Antonietti A., Cantoia M.(2000). To see a painting versus to walk in a painting: An experiment on sense-making through virtual reality. Computers and Education";"virtual, avatar, world, experi, environ"
-2,81550931575362;1,36073765781275;"Miall D.S., Dobson T.(2001). Reading hypertext and the experience of literature. Journal of Digital Information";"child, read, activ, text, electron"
-9,19953866224471;-12,5684193390205;"Mak B.L., Degennaro A.(1999). Computer graphics for art creation: Cultural biases against its acceptance in education. Computers and Graphics (Pergamon)";"art, creativ, technologi, project, develop"
21,8648292239815;6,54592555791476;"Anderson C.A., Dill K.E.(2000). Video games and aggressive thoughts, feelings, and behavior in the laboratory and in life. Journal of Personality and Social Psychology";"game, plai, violent, aggress, behavior"
-13,0470753143822;-8,37037674417309;"Kerr A.(2000). Media diversity and cultural identities: The development of multimedia 'content' in Ireland. New Media and Society";"art, creativ, technologi, project, develop"
-8,25352249239692;-12,9330099371225;"Mak B.(2001). Learning art with computers - A LISREL model. Journal of Computer Assisted Learning";"art, creativ, technologi, project, develop"
-5,51176152541486;0,974602074894833;"Landoni M., Wilson R., Gibb F.(2001). Looking for guidelines for the production of electronic textbooks. Online Information Review";"video, imag, content, visual, analys"
18,3301661278928;4,83676538159362;"Funk J.B., Hagan J., Schimming J., Bullock W.A., Buchman D.D., Myers M.(2002). Aggression and Psychopathology in Adolescents with a Preference for Violent Electronic Games. Aggressive Behavior";"problem, associ, person, predict, posit, emot"
23,0081475762408;7,08755809992415;"Bartholow B.D., Anderson C.A.(2002). Effects of violent video games on aggressive behavior: Potential sex differences. Journal of Experimental Social Psychology";"game, plai, violent, aggress, behavior"
-8,24803912977909;2,88358344780339;"Bennett A.(2002). Music, media and urban mythscapes: A study of the 'Canterbury Sound'. Media, Culture and Society";"music, interact, user, system, experi"
-6,12226011654301;2,45087160986534;"Wilson R., Landoni M., Gibb F.(2002). A user-centred approach to e-book design. Electronic Library";"music, interact, user, system, experi"
13,4638816532524;2,50647808308751;"Durkin K., Barber B.(2002). Not so doomed: Computer game play and positive adolescent development. Journal of Applied Developmental Psychology";"problem, associ, person, predict, posit, emot"
-3,31574418704612;-2,66885630144269;"Nissim S., Bertolini R.(2002). Video games and children's imagination. Journal of Child Psychotherapy";"art, creativ, technologi, project, develop"
2,04036459902672;3,61698582530652;"Fabricatore C., Nussbaum M., Rosas R.(2002). Playability in action videogames: A qualitative design model. Human-Computer Interaction";"design, method, review, system, valu"
-12,1349014637435;-1,94095467343245;"Reading A.(2003). Digital interactivity in public memory institutions: The uses of new technologies in Holocaust museums. Media, Culture and Society";"cultur, museum, commun, inform, histor"
15,94804847528;2,69598738304342;"Rawlings D.(2003). Personality correlates of liking for 'unpleasant' paintings and photographs. Personality and Individual Differences";"problem, associ, person, predict, posit, emot"
10,4442890731288;-0,192164088493628;"Griffiths M.D., Davies M.N.O., Chappell D.(2003). Breaking the stereotype: The case of online gaming. Cyberpsychology and Behavior";"game, plai, mmo, examin, analys"
8,65541393814955;2,66722771753638;"Hong J.-C., Liu M.-C.(2003). A study on thinking strategy between experts and novices of computer games. Computers in Human Behavior";"game, plai, mmo, examin, analys"
-14,6074624164467;-0,493055674077003;"Bar-Ilan J., Groisman N.(2003). Modern Hebrew literature on the Web: a content analysis. Online Information Review";"cultur, museum, commun, inform, histor"
-2,72234728122343;-0,588031033157741;"Trushell J., Maitland A., Burrell C.(2003). Pupils' recall of an interactive storybook on CD-ROM. Journal of Computer Assisted Learning";"child, read, activ, text, electron"
-4,84211637168371;-12,253943938432;"Freedman K.(1989). Microcomputers and the dynamics of image making and social life in three art classrooms. Journal of Research on Computing in Education";"student, teach, school, educ, classroom"
-4,25103674115703;-8,38711617187934;"Rouzie A.(2000). The composition of dramatic experience: The play element in student electronic projects. Computers and Composition";"game, plai, mmo, examin, analys"
-10,5430934724679;2,62626964789014;"Bernier R.(2003). Usability of interactive computers in exhibitions: Designing knowledgeable information for visitors. Journal of Educational Computing Research";"music, interact, user, system, experi"
-5,09409999389162;-0,773943149936463;"Wilson T., Hamzah A., Khattab U.(2003). The 'cultural technology of clicking' in the hypertext era: Electronic journalism reception in Malaysia. New Media and Society";"child, read, activ, text, electron"
22,4983689844908;6,86092072087067;"Deselms J.L., Altman J.D.(2003). Immediate and Prolonged Effects of Videogame Violence. Journal of Applied Social Psychology";"game, plai, violent, aggress, behavior"
14,1265761913629;1,18198911796472;"Southwell B.G., Doyle K.O.(2004). The good, the bad, or the ugly? A multilevel perspective on electronic game effects. American Behavioral Scientist";"problem, associ, person, predict, posit, emot"
-8,90162427634468;-9,53345072891932;"Semchuk S., Tien L.(2004). Telling story! Voice in photography: An online visual art critical studies program evaluation. International Review of Research in Open and Distance Learning";"art, creativ, technologi, project, develop"
15,67578657591;-6,84883413637998;"Papastergiou M., Solomonidou C.(2005). Gender issues in Internet access and favourite Internet activities among Greek high school pupils inside and outside school. Computers and Education";"student, teach, school, educ, classroom"
21,3619962319449;5,61246986639311;"Krah<e9> B., M<f6>ller I.(2004). Playing violent electronic games, hostile attributional style, and aggression-related norms in German adolescents. Journal of Adolescence";"game, plai, violent, aggress, behavior"
-1,46384402157719;-8,33877340921823;"Shiratuddin N., Landoni M., Gibb F., Hassan S.(2003). E-book technology and its potential applications in distance education. Journal of Digital Information";"learn, educ, design, develop, environ"
15,4180072564754;-5,52552981302538;"Bonanno P., Kommers P.A.M.(2005). Gender differences and styles in the use of digital games. Educational Psychology";"internet, addict, adolesc, gender, femal"
22,5702343874852;7,28246786989772;"Anderson C.A.(2004). An update on the effects of playing violent video games. Journal of Adolescence";"game, plai, violent, aggress, behavior"
14,6638602233653;-3,25954666506458;"Griffiths M.D., Davies M.N.O., Chappell D.(2004). Online computer gaming: A comparison of adolescent and adult gamers. Journal of Adolescence";"game, plai, mmo, examin, analys"
22,1971819220338;6,91405084390089;"Uhlmann E., Swanson J.(2004). Exposure to violent video games increases automatic aggressiveness. Journal of Adolescence";"game, plai, violent, aggress, behavior"
20,7857175347462;4,85525470101555;"Gentile D.A., Lynch P.J., Linder J.R., Walsh D.A.(2004). The effects of violent video game habits on adolescent hostility, aggressive behaviors, and school performance. Journal of Adolescence";"game, plai, violent, aggress, behavior"
-12,2517728714855;-3,44168700741537;"Moyano P.(2004). Using geographical information system software and Internet technologies for multidisciplinary cultural education. Proceedings of the Fifth International Conference on Information Technology Based Higher Education and Training, ITHET 2004";"cultur, museum, commun, inform, histor"
-6,01312653349262;5,80848841304188;"Lipscomb S.D., Zehnder S.M.(2004). Immersion in the virtual environment: The effect of a musical score on the video gaming experience. Journal of Physiological Anthropology and Applied Human Science";"perform, cognit, particip, experi, task"
2,65609785539975;-2,75569852784516;"Kiili K.(2005). Digital game-based learning: Towards an experiential gaming model. Internet and Higher Education";"learn, educ, design, develop, environ"
5,33391041225555;9,79196646535089;"Gao Y.(2004). Appeal of online computer games: A user perspective. Electronic Library";"model, influenc, blog, factor, perceiv"
-9,76665507216915;-3,49743650363493;"Gutierrez D., Seron F.J., Magallon J.A., Sobreviela E.J., Latorre P.(2004). Archaeological and cultural heritage: Bringing life to an unearthed Muslim suburb in an immersive environment. Journal of Cultural Heritage";"virtual, avatar, world, experi, environ"
3,96853322494822;-2,30689299315612;"Curtis D.D., Lawson M.J.(2002). Computer adventure games as problem-solving environments. International Education Journal";"problem, associ, person, predict, posit, emot"
-11,5763523141128;-2,02101713276275;"Barton J.(2005). Digital libraries, virtual museums: Same difference?. Library Review";"cultur, museum, commun, inform, histor"
-9,3764961608475;-11,7866076102076;"Hanlon A., Copeland A.(2000). Using the Dublin Core to document digital art: A case study. Journal of Internet Cataloging";"art, creativ, technologi, project, develop"
14,7768361741559;-3,01765421681342;"Jansz J., Martens L.(2005). Gaming at a LAN event: The social context of playing video games. New Media and Society";"game, plai, mmo, examin, analys"
2,82680105471153;-1,60614030041834;"Consalvo M.(2005). Cheating can be good for you: Educational games and multiple play styles. On the Horizon";"game, plai, mmo, examin, analys"
-3,69532931987292;-0,232050697388434;"Luce-Kapler R., Dobson T.(2005). In search of a story: Reading and writing e-literature. Reading Online";"child, read, activ, text, electron"
-13,0166031038107;-5,27647062510271;"Preston P., Kerr A.(2001). Digital media, nation-states and local cultures: The case of multimedia 'content' production. Media, Culture and Society";"cultur, museum, commun, inform, histor"
21,3843926656034;6,81242760804931;"Kirsh S.J., Olczak P.V., Mounts J.R.W.(2005). Violent video games induce an affect processing bias. Media Psychology";"game, plai, violent, aggress, behavior"
-2,0936939062549;-11,9599561706444;"Yang J.C., Ko H.W., Chung I.L.(2005). Web-based interactive writing environment: Development and evaluation. Educational Technology and Society";"student, teach, school, educ, classroom"
-7,30451719173541;-8,93215968754951;"Pearson M.(2005). Splitting clips and telling tales: Students interactions with digital video. Education and Information Technologies";"art, creativ, technologi, project, develop"
23,0521121964197;7,11260848196807;"Anderson C.A., Murphy C.R.(2003). Violent Video Games and Aggressive Behavior in Young Women. Aggressive Behavior";"game, plai, violent, aggress, behavior"
21,949656815902;6,33140800754578;"Bartholow B.D., Sestir M.A., Davis E.B.(2005). Correlates and consequences of exposure to video game violence: Hostile personality, empathy, and aggressive behavior. Personality and Social Psychology Bulletin";"game, plai, violent, aggress, behavior"
3,17920440424508;7,75163637053822;"Gao Y.(2005). Factors influencing user trust in online games. Electronic Library";"model, influenc, blog, factor, perceiv"
-15,6644055092478;-0,455333587900675;"Cardon D., Granjon F.(2005). Social networks and cultural practices. A case study of young avid screen users in France. Social Networks";"social, media, sns, network, facebook"
-2,81024682954304;1,52051802618512;"Liu Z.(2005). Reading behavior in the digital environment: Changes in reading behavior over the past ten years. Journal of Documentation";"child, read, activ, text, electron"
21,8117231200096;7,0043504791102;"Williams D., Skoric M.(2005). Internet fantasy violence: A test of aggression in an online game. Communication Monographs";"game, plai, violent, aggress, behavior"
-4,90476339403763;9,73565062389524;"May H., Hearn G.(2005). The mobile phone as media. International Journal of Cultural Studies";"mobil, technologi, peopl, young, live"
-13,1487684528423;-5,25327162710426;"Greenhalgh M.(2002). Learning from images over the web. Journal of the Association for History and Computing";"cultur, museum, commun, inform, histor"
19,9222199798428;6,75760012211441;"Funk J.B., Buchman D.D., Jenks J., Bechtoldt H.(2002). An evidence-based approach to examining the impact of playing violent video and computer games. SIMILE";"game, plai, violent, aggress, behavior"
0,174381895060523;-4,23786185129587;"Gjedde L.(2002). Exploring interactive WebArt: Implications for the design of learner centred interactive learning environments. Interactive Multimedia Electronic Journal of Computer - Enhanced Learning";"learn, educ, design, develop, environ"
-12,0901046054815;-3,73780201330449;"Dunn C.D., Occhi D.J.(2003). Contesting cultural representations: Using Internet-mediated communication for cross-cultural education. Electronic Magazine of Multicultural Education";"cultur, museum, commun, inform, histor"
-3,8457411637207;1,10897433733366;"McDonald D.G., Kim H.(2001). When i Die, i feel small: electronic game characters and the social self. Journal of Broadcasting and Electronic Media";"child, read, activ, text, electron"
15,431628621016;-4,37939257592907;"Quaiser-Pohl C., Geiser C., Lehmann W.(2006). The relationship between computer-game preference, gender, and mental-rotation ability. Personality and Individual Differences";"internet, addict, adolesc, gender, femal"
5,37763254373279;9,13838621879466;"Chang B.-H., Lee S.-E., Kim B.-S.(2006). Exploring factors affecting the adoption and continuance of online games among college students in South Korea: Integrating uses and gratification and diffusion of innovation approaches. New Media and Society";"model, influenc, blog, factor, perceiv"
2,18673844672413;12,8404099269064;"Herman A., Coombe R.J., Kaye L.(2006). Your second life?: Goodwill and the performativity of intellectual property in online digital gaming. Cultural Studies";"game, plai, mmo, examin, analys"
-5,78754875795952;-3,20965155535239;"Kerr A., K<fc>cklich J., Brereton P.(2006). New media - New pleasures?. International Journal of Cultural Studies";"digit, media, narr, literaci, practic"
-0,0458190998792877;-0,178047723911181;"Arnone M.P., Grabowski B.L., Rynd C.P.(1994). Curiosity as a personality variable influencing learning in a learner controlled lesson with and without advisement. Educational Technology Research and Development";"perform, cognit, particip, experi, task"
2,50313675072637;-4,20891358210422;"Dickey M.D.(2006). Game design narrative for learning: Appropriating adventure game design narrative devices and techniques for the design of interactive learning environments. Educational Technology Research and Development";"learn, educ, design, develop, environ"
-11,4995902539045;-2,52532672259199;"Haus G., Ludovico L.A.(2006). The digital opera house: an<U+00A0>architecture for<U+00A0>multimedia databases. Journal of Cultural Heritage";"cultur, museum, commun, inform, histor"
8,59175618236428;1,54570257288456;"Schott G., Kambouri M.(2003). Moving between the spectral and material plane: Interactivity in social play with computer games. Convergence";"game, plai, mmo, examin, analys"
-3,41199345619782;3,0561773614857;"Gunter B.(2005). Electronic books: A survey of users in the UK. Aslib Proceedings: New Information Perspectives";"child, read, activ, text, electron"
-1,65937860550338;1,43321681414648;"Ko S.(2002). An empirical analysis of children's thinking and learning in a computer game context. Educational Psychology";"child, read, activ, text, electron"
19,5600582123834;5,85452463837853;"Chumbley J., Griffiths M.(2006). Affect and the computer game player: The effect of gender, personality, and game reinforcement structure on affective responses to computer game-play. Cyberpsychology and Behavior";"game, plai, violent, aggress, behavior"
19,0105792986523;-3,59540990474263;"Nikken P., Jansz J.(2006). Parental mediation of children's videogame playing: A comparison of the reports by parents and children. Learning, Media and Technology";"child, read, activ, text, electron"
-1,68491300982658;-4,27200885977363;"Hall T., Bannon L.(2006). Designing ubiquitous computing to enhance children's learning in museums. Journal of Computer Assisted Learning";"learn, educ, design, develop, environ"
-10,1836022434363;2,6915782205508;"Baumann S., Hummel O.(2005). Enhancing music recommendation algorithms using cultural metadata. Journal of New Music Research";"music, interact, user, system, experi"
2,79471015785543;1,71113631412447;"Dickey M.D.(2006). Girl gamers: The controversy of girl games and the relevance of female-oriented game design for instructional design. British Journal of Educational Technology";"design, method, review, system, valu"
-9,30497319152297;-12,1082707458168;"Aguirre I.(2004). Beyond the understanding of visual culture: A pragmatist approach to aesthetic education imanol aguirre. International Journal of Art and Design Education";"art, creativ, technologi, project, develop"
-10,5796243810114;-7,68137506324813;"Rickert T., Salvo M.(2006). The distributed Gesamptkunstwerk: Sound, worlding, and new media culture. Computers and Composition";"art, creativ, technologi, project, develop"
-6,40615118078366;-5,29546244571391;"Halbritter B.(2006). Musical rhetoric in integrated-media composition. Computers and Composition";"digit, media, narr, literaci, practic"
-2,13067160094085;-13,875358717062;"Perry B.(2006). Using photographic images as an interactive online teaching strategy. Internet and Higher Education";"student, teach, school, educ, classroom"
18,8388760493719;-3,51176021996769;"Cooper J.(2006). The digital divide: The special case of gender. Journal of Computer Assisted Learning";"internet, addict, adolesc, gender, femal"
9,08443941041512;-0,865678566502588;"Steinkuehler C.A.(2006). Massively Multiplayer Online Video Gaming as Participation in a Discourse. Mind, Culture, and Activity";"game, plai, mmo, examin, analys"
-11,6108530866899;-0,919125816105827;"Sandywell B., Beer D.(2005). Stylistic morphing: Notes on the digitisation of contemporary music culture. Convergence";"cultur, museum, commun, inform, histor"
-6,15914739248461;-11,2135210309888;"Loveless A.(2003). Making a difference? An evaluation of professional knowledge and pedagogy in art and ICT. International Journal of Art and Design Education";"art, creativ, technologi, project, develop"
21,3419860476596;7,22892269560531;"Eastin M.S., Griffiths R.P.(2006). Beyond the shooter game: Examining presence and hostile outcomes among male game players. Communication Research";"game, plai, violent, aggress, behavior"
1,82664701474517;5,88868340721445;"Grimes S.M.(2006). Online multiplayer games: A virtual space for intellectual property debates?. New Media and Society";"onlin, social, commun, ident, offlin"
13,6098061865039;-2,34956759238333;"Rau P.-L.P., Peng S.-Y., Yang C.-C.(2006). Time distortion for expert and novice online game players. Cyberpsychology and Behavior";"game, plai, mmo, examin, analys"
1,0748470007113;14,7045139324726;"Artopoulos G., Condorcet E.(2006). House of affects - Time, immersion and play in digital design for spatially-experienced interactive narrative. Digital Creativity";"virtual, avatar, world, experi, environ"
-2,83591723429132;-0,360474518664688;"Pohl M., Purgathofer P.(2004). Hypertext writing profiles and visualisation. Computers and the Humanities";"child, read, activ, text, electron"
18,5594530526386;9,32126377966006;"Kim Y.-Y., Oh S., Lee H.(2005). What makes people experience flow? Social characteristics of online games. International Journal of Advanced Media and Communication";"game, plai, violent, aggress, behavior"
17,0899019505989;-4,75944021025031;"Charlton J.P., Danforth I.D.W.(2007). Distinguishing addiction and high engagement in the context of online game playing. Computers in Human Behavior";"internet, addict, adolesc, gender, femal"
19,8552330951662;6,44835473384472;"Voiskounsky A.E., Mitina O.V., Avetisova A.A.(2005). Communicative patterns and flow experience of MUD players. International Journal of Advanced Media and Communication";"game, plai, violent, aggress, behavior"
11,1177308806999;-1,79432792961712;"Baek S.(2005). Exploring customer preferences for online games. International Journal of Advanced Media and Communication";"onlin, social, commun, ident, offlin"
1,89230962925886;-11,1271958672521;"Vogel J.J., Vogel D.S., Cannon-Bowers J., Bowers G.A., Muse K., Wright M.(2006). Computer gaming and interactive simulations for learning: A meta-analysis. Journal of Educational Computing Research";"student, teach, school, educ, classroom"
